AeroDyn airfoil file.  Compatible with AeroDyn v12.5.  4*S818 + 3*S816 - Generated by M. Buhl.
Data came from Eppler data that was extended and blended by AirfoilPrep.
   5        Number of airfoil tables in this file
   1.0       2.0       3.0       4.0       5.0      Reynolds numbers in millions
  11.00     12.00     12.00     13.00     13.00     Stall angle (deg)
   0.0       0.0       0.0       0.0       0.0      unused parameter
   0.0       0.0       0.0       0.0       0.0      unused parameter
   0.0       0.0       0.0       0.0       0.0      unused parameter
  -4.4221   -4.5534   -4.5777   -4.6096   -4.5940   Zero Cn angle of attack (deg)
   5.8935    5.7249    5.7151    5.6841    5.7062   Cn slope for zero lift (dimensionless)
   1.5863    1.6540    1.6536    1.7470    1.7522   Cn extrapolated to value at positive stall angle of attack
  -0.8490   -0.7894   -0.7962   -0.7918   -0.7959   Cn at stall value for negative angle of attack
  -3.00     -3.00     -2.00     -3.00     -3.00     Angle of attack for minimum CD (deg)
   0.0083    0.0080    0.0077    0.0075    0.0074   Minimum CD value
-180.00   0.000 0.0100   0.000 0.0100   0.000 0.0100   0.000 0.0100   0.000 0.0100
-170.00   0.920 0.0206   0.897 0.0140   0.907 0.0129   0.925 0.0136   0.930 0.0134
-160.00   0.779 0.1795   0.816 0.1732   0.822 0.1722   0.877 0.1618   0.879 0.1616
-150.00   0.765 0.4231   0.786 0.4173   0.790 0.4164   0.822 0.4068   0.823 0.4066
-140.00   0.756 0.7223   0.769 0.7172   0.771 0.7163   0.791 0.7079   0.791 0.7077
-130.00   0.702 1.0412   0.710 1.0370   0.711 1.0363   0.723 1.0291   0.723 1.0290
-120.00   0.591 1.3419   0.595 1.3386   0.596 1.3380   0.602 1.3325   0.602 1.3324
-110.00   0.426 1.5884   0.427 1.5862   0.428 1.5858   0.430 1.5820   0.430 1.5819
-100.00   0.221 1.7516   0.222 1.7505   0.222 1.7503   0.223 1.7483   0.223 1.7483
 -90.00   0.000 1.8123   0.000 1.8123   0.000 1.8123   0.000 1.8123   0.000 1.8123
 -80.00  -0.221 1.7516  -0.222 1.7505  -0.222 1.7503  -0.223 1.7483  -0.223 1.7483
 -70.00  -0.426 1.5884  -0.427 1.5862  -0.428 1.5858  -0.430 1.5820  -0.430 1.5819
 -60.00  -0.591 1.3419  -0.595 1.3386  -0.596 1.3380  -0.602 1.3325  -0.602 1.3324
 -50.00  -0.702 1.0412  -0.710 1.0370  -0.711 1.0363  -0.723 1.0291  -0.723 1.0290
 -40.00  -0.756 0.7223  -0.769 0.7172  -0.771 0.7163  -0.791 0.7079  -0.791 0.7077
 -30.00  -0.765 0.4231  -0.786 0.4173  -0.790 0.4164  -0.822 0.4068  -0.823 0.4066
 -20.00  -0.779 0.1795  -0.816 0.1732  -0.822 0.1722  -0.877 0.1618  -0.879 0.1616
 -10.00  -0.858 0.0251  -0.797 0.0241  -0.804 0.0233  -0.801 0.0188  -0.805 0.0185
  -6.00  -0.185 0.0119  -0.184 0.0117  -0.183 0.0114  -0.198 0.0098  -0.200 0.0097
  -5.00  -0.072 0.0106  -0.072 0.0104  -0.070 0.0101  -0.078 0.0092  -0.079 0.0091
  -4.00   0.041 0.0093   0.041 0.0090   0.043 0.0088   0.043 0.0085   0.042 0.0084
  -3.00   0.134 0.0083   0.135 0.0080   0.136 0.0077   0.137 0.0075   0.137 0.0074
  -2.00   0.242 0.0084   0.243 0.0081   0.245 0.0077   0.246 0.0075   0.246 0.0074
  -1.00   0.351 0.0084   0.352 0.0082   0.353 0.0078   0.354 0.0075   0.354 0.0075
   0.00   0.459 0.0086   0.461 0.0082   0.462 0.0078   0.463 0.0076   0.463 0.0075
   1.00   0.566 0.0087   0.568 0.0084   0.570 0.0080   0.571 0.0077   0.571 0.0076
   2.00   0.673 0.0089   0.674 0.0085   0.677 0.0081   0.679 0.0079   0.679 0.0078
   3.00   0.780 0.0090   0.781 0.0086   0.783 0.0082   0.785 0.0080   0.786 0.0079
   4.00   0.886 0.0092   0.887 0.0089   0.889 0.0085   0.891 0.0082   0.892 0.0081
   5.00   0.991 0.0095   0.992 0.0092   0.995 0.0088   0.997 0.0085   0.998 0.0084
   6.00   1.096 0.0098   1.097 0.0095   1.100 0.0091   1.103 0.0087   1.103 0.0086
