AeroDyn airfoil file.  Compatible with AeroDyn v12.5.  2*S818 + 5*S816 - Generated by M. Buhl.
Data came from Eppler data that was extended and blended by AirfoilPrep.
   5        Number of airfoil tables in this file
   1.0       2.0       3.0       4.0       5.0      Reynolds numbers in millions
   9.00      9.00      9.00     11.00     12.00     Stall angle (deg)
   0.0       0.0       0.0       0.0       0.0      unused parameter
   0.0       0.0       0.0       0.0       0.0      unused parameter
   0.0       0.0       0.0       0.0       0.0      unused parameter
  -3.7899   -3.7933   -3.8010   -3.8575   -3.8998   Zero Cn angle of attack (deg)
   5.9786    5.9817    5.9835    5.8518    5.7852   Cn slope for zero lift (dimensionless)
   1.3346    1.3356    1.3368    1.5174    1.6054   Cn extrapolated to value at positive stall angle of attack
  -0.8125   -0.7827   -0.7862   -0.8349   -0.8417   Cn at stall value for negative angle of attack
  -2.00     -2.00     -2.00     -1.00      0.00     Angle of attack for minimum CD (deg)
   0.0074    0.0073    0.0071    0.0069    0.0067   Minimum CD value
-180.00   0.000 0.0100   0.000 0.0100   0.000 0.0100   0.000 0.0100   0.000 0.0100
-170.00   0.852 0.0243   0.840 0.0211   0.845 0.0205   0.907 0.0161   0.914 0.0156
-160.00   0.727 0.1843   0.745 0.1812   0.748 0.1807   0.800 0.1709   0.803 0.1705
-150.00   0.737 0.4296   0.748 0.4267   0.750 0.4263   0.780 0.4172   0.782 0.4169
-140.00   0.741 0.7308   0.748 0.7282   0.749 0.7278   0.767 0.7198   0.768 0.7195
-130.00   0.696 1.0518   0.699 1.0497   0.700 1.0493   0.711 1.0426   0.712 1.0423
-120.00   0.589 1.3543   0.591 1.3526   0.591 1.3524   0.597 1.3472   0.598 1.3469
-110.00   0.426 1.6022   0.427 1.6011   0.427 1.6009   0.430 1.5973   0.430 1.5972
-100.00   0.222 1.7660   0.223 1.7655   0.223 1.7654   0.223 1.7636   0.223 1.7635
 -90.00   0.000 1.8265   0.000 1.8265   0.000 1.8265   0.000 1.8265   0.000 1.8265
 -80.00  -0.222 1.7660  -0.223 1.7655  -0.223 1.7654  -0.223 1.7636  -0.223 1.7635
 -70.00  -0.426 1.6022  -0.427 1.6011  -0.427 1.6009  -0.430 1.5973  -0.430 1.5972
 -60.00  -0.589 1.3543  -0.591 1.3526  -0.591 1.3524  -0.597 1.3472  -0.598 1.3469
 -50.00  -0.696 1.0518  -0.699 1.0497  -0.700 1.0493  -0.711 1.0426  -0.712 1.0423
 -40.00  -0.741 0.7308  -0.748 0.7282  -0.749 0.7278  -0.767 0.7198  -0.768 0.7195
 -30.00  -0.737 0.4296  -0.748 0.4267  -0.750 0.4263  -0.780 0.4172  -0.782 0.4169
 -20.00  -0.727 0.1843  -0.745 0.1812  -0.748 0.1807  -0.800 0.1709  -0.803 0.1705
 -10.00  -0.820 0.0266  -0.790 0.0261  -0.794 0.0257  -0.845 0.0186  -0.852 0.0182
  -6.00  -0.246 0.0137  -0.245 0.0136  -0.245 0.0134  -0.271 0.0109  -0.274 0.0107
  -5.00  -0.130 0.0114  -0.129 0.0113  -0.129 0.0112  -0.142 0.0098  -0.144 0.0096
  -4.00  -0.014 0.0092  -0.013 0.0091  -0.013 0.0089  -0.014 0.0086  -0.015 0.0084
  -3.00   0.070 0.0075   0.070 0.0073   0.071 0.0072   0.071 0.0069   0.071 0.0068
  -2.00   0.179 0.0074   0.180 0.0073   0.181 0.0071   0.181 0.0069   0.181 0.0068
  -1.00   0.289 0.0075   0.289 0.0073   0.290 0.0071   0.290 0.0069   0.290 0.0068
   0.00   0.398 0.0075   0.398 0.0074   0.399 0.0072   0.399 0.0069   0.399 0.0067
   1.00   0.505 0.0076   0.506 0.0075   0.507 0.0073   0.509 0.0070   0.509 0.0068
   2.00   0.612 0.0078   0.613 0.0076   0.614 0.0074   0.616 0.0071   0.618 0.0069
   3.00   0.719 0.0078   0.720 0.0077   0.721 0.0075   0.723 0.0072   0.724 0.0071
   4.00   0.825 0.0081   0.826 0.0079   0.827 0.0077   0.829 0.0074   0.831 0.0072
   5.00   0.930 0.0083   0.931 0.0081   0.932 0.0079   0.934 0.0076   0.936 0.0074
   6.00   1.035 0.0085   1.036 0.0083   1.037 0.0081   1.040 0.0078   1.042 0.0076
   7.00   1.098 0.0134   1.099 0.0132   1.100 0.0130   1.105 0.0126   1.108 0.0124
   8.00   1.188 0.0151   1.189 0.0149   1.190 0.0147   1.198 0.0140   1.202 0.0136
   9.00   1.272 0.0165   1.273 0.0163   1.265 0.0177   1.276 0.0170   1.284 0.0165
  10.00   1.239 0.0268   1.241 0.0265   1.244 0.0260   1.353 0.0190   1.363 0.0186
  11.00   1.247 0.0391   1.253 0.0387   1.257 0.0382   1.360 0.0312   1.369 0.0308
  12.00   1.224 0.0552   1.258 0.0509   1.266 0.0503   1.365 0.0433   1.374 0.0429
  13.00   1.201 0.0714   1.234 0.0672   1.242 0.0666   1.362 0.0555   1.370 0.0551
  20.00   1.038 0.1843   1.064 0.1812   1.069 0.1807   1.143 0.1709   1.147 0.1705
  30.00   1.053 0.4296   1.068 0.4267   1.071 0.4263   1.114 0.4172   1.117 0.4169
  40.00   1.059 0.7308   1.068 0.7282   1.070 0.7278   1.096 0.7198   1.098 0.7195
  50.00   0.994 1.0518   0.999 1.0497   1.000 1.0493   1.016 1.0426   1.016 1.0423
  60.00   0.841 1.3543   0.844 1.3526   0.845 1.3524   0.853 1.3472   0.854 1.3469
  70.00   0.609 1.6022   0.610 1.6011   0.610 1.6009   0.614 1.5973   0.614 1.5972
  80.00   0.318 1.7660   0.318 1.7655   0.318 1.7654   0.319 1.7636   0.319 1.7635
  90.00   0.000 1.8265   0.000 1.8265   0.000 1.8265   0.000 1.8265   0.000 1.8265
 100.00  -0.222 1.7660  -0.223 1.7655  -0.223 1.7654  -0.223 1.7636  -0.223 1.7635
 110.00  -0.426 1.6022  -0.427 1.6011  -0.427 1.6009  -0.430 1.5973  -0.430 1.5972
 120.00  -0.589 1.3543  -0.591 1.3526  -0.591 1.3524  -0.597 1.3472  -0.598 1.3469
 130.00  -0.696 1.0518  -0.699 1.0497  -0.700 1.0493  -0.711 1.0426  -0.712 1.0423
 140.00  -0.741 0.7308  -0.748 0.7282  -0.749 0.7278  -0.767 0.7198  -0.768 0.7195
 150.00  -0.737 0.4296  -0.748 0.4267  -0.750 0.4263  -0.780 0.4172  -0.782 0.4169
 160.00  -0.727 0.1843  -0.745 0.1812  -0.748 0.1807  -0.800 0.1709  -0.803 0.1705
 170.00  -0.852 0.0243  -0.840 0.0211  -0.845 0.0205  -0.907 0.0161  -0.914 0.0156
 180.00   0.000 0.0100   0.000 0.0100   0.000 0.0100   0.000 0.0100   0.000 0.0100
