AeroDyn airfoil file.  Compatible with AeroDyn v12.5.  2*S816 + 1*S817 - Generated by M. Buhl.
Data came from Eppler data that was extended and blended by AirfoilPrep.
   4        Number of airfoil tables in this file
   2.0       3.0       4.0       5.0      Reynolds numbers in millions
   7.00      8.00      9.00      9.00     Stall angle (deg)
   0.0       0.0       0.0       0.0      unused parameter
   0.0       0.0       0.0       0.0      unused parameter
   0.0       0.0       0.0       0.0      unused parameter
  -3.2865   -3.3504   -3.4279   -3.4255   Zero Cn angle of attack (deg)
   6.1151    6.0062    5.8856    5.8933   Cn slope for zero lift (dimensionless)
   1.0979    1.1898    1.2766    1.2781   Cn extrapolated to value at positive stall angle of attack
  -0.6652   -0.7266   -0.8270   -0.8302   Cn at stall value for negative angle of attack
  -1.00     -1.00     -1.00      0.00     Angle of attack for minimum CD (deg)
   0.0056    0.0053    0.0051    0.0050   Minimum CD value
-180.00   0.000 0.0100   0.000 0.0100   0.000 0.0100   0.000 0.0100
-170.00   0.669 0.0391   0.732 0.0335   0.835 0.0242   0.839 0.0240
-160.00   0.632 0.2053   0.661 0.2000   0.709 0.1910   0.711 0.1909
-150.00   0.696 0.4600   0.713 0.4551   0.740 0.4469   0.741 0.4467
-140.00   0.728 0.7726   0.739 0.7683   0.756 0.7610   0.756 0.7609
-130.00   0.699 1.1057   0.705 1.1020   0.715 1.0959   0.715 1.0958
-120.00   0.600 1.4191   0.603 1.4163   0.609 1.4115   0.609 1.4114
-110.00   0.438 1.6754   0.440 1.6735   0.442 1.6702   0.442 1.6701
-100.00   0.230 1.8439   0.231 1.8429   0.231 1.8413   0.231 1.8412
 -90.00   0.000 1.9046   0.000 1.9046   0.000 1.9046   0.000 1.9046
 -80.00  -0.230 1.8439  -0.231 1.8429  -0.231 1.8413  -0.231 1.8412
 -70.00  -0.438 1.6754  -0.440 1.6735  -0.442 1.6702  -0.442 1.6701
 -60.00  -0.600 1.4191  -0.603 1.4163  -0.609 1.4115  -0.609 1.4114
 -50.00  -0.699 1.1057  -0.705 1.1020  -0.715 1.0959  -0.715 1.0958
 -40.00  -0.728 0.7726  -0.739 0.7683  -0.756 0.7610  -0.756 0.7609
 -30.00  -0.696 0.4600  -0.713 0.4551  -0.740 0.4469  -0.741 0.4467
 -20.00  -0.632 0.2053  -0.661 0.2000  -0.709 0.1910  -0.711 0.1909
 -10.00  -0.669 0.0391  -0.732 0.0335  -0.835 0.0242  -0.839 0.0240
  -4.00  -0.067 0.0088  -0.070 0.0084  -0.073 0.0081  -0.074 0.0080
  -3.00   0.027 0.0077   0.025 0.0073   0.025 0.0070   0.025 0.0069
  -2.00   0.135 0.0073   0.135 0.0070   0.135 0.0068   0.135 0.0067
  -1.00   0.245 0.0056   0.245 0.0053   0.245 0.0051   0.245 0.0050
   0.00   0.354 0.0056   0.355 0.0053   0.355 0.0051   0.355 0.0050
   1.00   0.461 0.0057   0.465 0.0054   0.465 0.0051   0.465 0.0050
   2.00   0.568 0.0058   0.571 0.0055   0.574 0.0053   0.575 0.0052
   3.00   0.673 0.0059   0.677 0.0056   0.679 0.0054   0.680 0.0053
   4.00   0.778 0.0061   0.782 0.0058   0.785 0.0055   0.786 0.0054
   5.00   0.882 0.0063   0.886 0.0060   0.890 0.0057   0.891 0.0056
   6.00   0.985 0.0065   0.953 0.0105   0.958 0.0101   0.959 0.0100
   7.00   1.020 0.0145   1.030 0.0138   1.037 0.0133   1.038 0.0132
   8.00   1.015 0.0218   1.116 0.0155   1.127 0.0147   1.129 0.0145
   9.00   1.009 0.0290   1.104 0.0230   1.212 0.0162   1.216 0.0160
  10.00   0.955 0.0391   1.046 0.0335   1.194 0.0242   1.198 0.0240
  20.00   0.903 0.2053   0.945 0.2000   1.013 0.1910   1.015 0.1909
  30.00   0.994 0.4600   1.018 0.4551   1.058 0.4469   1.059 0.4467
  40.00   1.041 0.7726   1.055 0.7683   1.080 0.7610   1.080 0.7609
  50.00   0.999 1.1057   1.007 1.1020   1.022 1.0959   1.022 1.0958
  60.00   0.857 1.4191   0.862 1.4163   0.870 1.4115   0.870 1.4114
  70.00   0.626 1.6754   0.628 1.6735   0.631 1.6702   0.632 1.6701
  80.00   0.329 1.8439   0.330 1.8429   0.330 1.8413   0.330 1.8412
  90.00   0.000 1.9046   0.000 1.9046   0.000 1.9046   0.000 1.9046
 100.00  -0.230 1.8439  -0.231 1.8429  -0.231 1.8413  -0.231 1.8412
 110.00  -0.438 1.6754  -0.440 1.6735  -0.442 1.6702  -0.442 1.6701
 120.00  -0.600 1.4191  -0.603 1.4163  -0.609 1.4115  -0.609 1.4114
 130.00  -0.699 1.1057  -0.705 1.1020  -0.715 1.0959  -0.715 1.0958
 140.00  -0.728 0.7726  -0.739 0.7683  -0.756 0.7610  -0.756 0.7609
 150.00  -0.696 0.4600  -0.713 0.4551  -0.740 0.4469  -0.741 0.4467
 160.00  -0.632 0.2053  -0.661 0.2000  -0.709 0.1910  -0.711 0.1909
 170.00  -0.669 0.0391  -0.732 0.0335  -0.835 0.0242  -0.839 0.0240
 180.00   0.000 0.0100   0.000 0.0100   0.000 0.0100   0.000 0.0100
